date_of_interest,CASE_COUNT,MA Cases
2020-02-29,1,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,1,0.0
2020-03-04,5,0.0
2020-03-05,3,0.0
2020-03-06,8,2.5714285714285716
2020-03-07,7,3.4285714285714284
2020-03-08,21,6.428571428571429
2020-03-09,57,14.571428571428571
2020-03-10,69,24.285714285714285
2020-03-11,155,45.714285714285715
2020-03-12,355,96.0
2020-03-13,619,183.28571428571428
2020-03-14,642,274.0
2020-03-15,1035,418.85714285714283
2020-03-16,2121,713.7142857142857
2020-03-17,2452,1054.142857142857
2020-03-18,2971,1456.4285714285713
2020-03-19,3706,1935.142857142857
2020-03-20,4006,2419.0
2020-03-21,2638,2704.1428571428573
2020-03-22,2580,2924.8571428571427
2020-03-23,3570,3131.8571428571427
2020-03-24,4498,3424.1428571428573
2020-03-25,4874,3696.0
2020-03-26,5044,3887.1428571428573
2020-03-27,5118,4046.0
2020-03-28,3479,4166.142857142857
2020-03-29,3560,4306.142857142857
2020-03-30,6130,4671.857142857143
2020-03-31,5458,4809.0
2020-04-01,5448,4891.0
2020-04-02,5747,4991.428571428572
2020-04-03,5669,5070.142857142857
2020-04-04,3864,5125.142857142857
2020-04-05,3781,5156.714285714285
2020-04-06,6353,5188.571428571428
2020-04-07,6042,5272.0
2020-04-08,5576,5290.285714285715
2020-04-09,5071,5193.714285714285
2020-04-10,4510,5028.142857142857
2020-04-11,3733,5009.428571428572
2020-04-12,2888,4881.857142857143
2020-04-13,3311,4447.285714285715
2020-04-14,4144,4176.142857142857
2020-04-15,3876,3933.285714285714
2020-04-16,3530,3713.1428571428573
2020-04-17,3584,3580.8571428571427
2020-04-18,2172,3357.8571428571427
2020-04-19,2344,3280.1428571428573
2020-04-20,3792,3348.8571428571427
2020-04-21,3063,3194.4285714285716
2020-04-22,3447,3133.1428571428573
2020-04-23,2841,3034.714285714286
2020-04-24,2535,2884.8571428571427
2020-04-25,1595,2802.4285714285716
2020-04-26,1003,2610.8571428571427
2020-04-27,2289,2396.1428571428573
2020-04-28,2726,2348.0
2020-04-29,2340,2189.8571428571427
2020-04-30,2022,2072.8571428571427
2020-05-01,1887,1980.2857142857142
2020-05-02,1058,1903.5714285714287
2020-05-03,787,1872.7142857142858
2020-05-04,1550,1767.142857142857
2020-05-05,1512,1593.7142857142858
2020-05-06,1398,1459.142857142857
2020-05-07,1239,1347.2857142857142
2020-05-08,1080,1232.0
2020-05-09,657,1174.7142857142858
2020-05-10,457,1127.5714285714287
2020-05-11,1231,1082.0
2020-05-12,1285,1049.5714285714287
