,Date,Subways: Total Estimated Ridership,MA Entries
540,2020-03-07,2817082,4587375.285714285
539,2020-03-08,2122328,4574193.428571428
538,2020-03-09,4989635,4523133.428571428
537,2020-03-10,4883623,4435285.857142857
536,2020-03-11,4712462,4320502.571428572
535,2020-03-12,4163674,4127648.0
534,2020-03-13,3496765,3883652.714285714
533,2020-03-14,1672800,3720183.8571428573
532,2020-03-15,1159079,3582576.8571428573
531,2020-03-16,2184296,3181814.1428571427
530,2020-03-17,1793359,2740347.8571428573
529,2020-03-18,1629413,2299912.285714286
528,2020-03-19,1425564,1908753.7142857143
527,2020-03-20,1312249,1596680.0
526,2020-03-21,620662,1446374.5714285714
525,2020-03-22,409364,1339272.4285714286
524,2020-03-23,711138,1128821.2857142857
523,2020-03-24,743314,978814.8571428572
522,2020-03-25,691604,844842.1428571428
521,2020-03-26,681923,738607.7142857143
520,2020-03-27,658312,645188.1428571428
519,2020-03-28,332993,604092.5714285715
518,2020-03-29,264119,583343.2857142857
517,2020-03-30,546355,559802.8571428572
516,2020-03-31,509149,526350.7142857143
515,2020-04-01,514201,501007.4285714286
514,2020-04-02,486468,473085.28571428574
513,2020-04-03,484200,448212.14285714284
512,2020-04-04,282703,441027.85714285716
511,2020-04-05,227603,435811.28571428574
510,2020-04-06,446273,421513.85714285716
509,2020-04-07,435718,411023.71428571426
508,2020-04-08,428206,398738.71428571426
507,2020-04-09,405325,387146.85714285716
506,2020-04-10,400947,375253.5714285714
505,2020-04-11,257467,371648.4285714286
504,2020-04-12,198693,367518.4285714286
503,2020-04-13,363961,355759.5714285714
502,2020-04-14,430946,355077.85714285716
501,2020-04-15,419851,353884.28571428574
500,2020-04-16,421013,356125.4285714286
499,2020-04-17,433106,360719.5714285714
498,2020-04-18,254792,360337.4285714286
497,2020-04-19,224751,364060.0
496,2020-04-20,438622,374725.85714285716
495,2020-04-21,422860,373570.71428571426
494,2020-04-22,459574,379245.4285714286
493,2020-04-23,454300,384000.71428571426
492,2020-04-24,444644,385649.0
491,2020-04-25,295836,391512.4285714286
490,2020-04-26,219096,390704.5714285714
489,2020-04-27,463700,394287.14285714284
488,2020-04-28,490073,403889.0
487,2020-04-29,478589,406605.4285714286
486,2020-04-30,466633,408367.28571428574
485,2020-05-01,495312,415605.5714285714
484,2020-05-02,326354,419965.28571428574
483,2020-05-03,259199,425694.28571428574
482,2020-05-04,512763,432703.28571428574
481,2020-05-05,522979,437404.14285714284
480,2020-05-06,509646,441840.85714285716
479,2020-05-07,536003,451750.85714285716
478,2020-05-08,526865,456258.4285714286
477,2020-05-09,317372,454975.28571428574
476,2020-05-10,272353,456854.4285714286
475,2020-05-11,521702,458131.4285714286
474,2020-05-12,554286,462603.85714285716
473,2020-05-13,566333,470702.0
472,2020-05-14,568315,475318.0
471,2020-05-15,588784,484163.5714285714
470,2020-05-16,361329,490443.14285714284
469,2020-05-17,287755,492643.4285714286
468,2020-05-18,596505,503329.5714285714
467,2020-05-19,611951,511567.4285714286
466,2020-05-20,624793,519918.85714285716
465,2020-05-21,630367,528783.4285714285
464,2020-05-22,634929,535375.5714285715
463,2020-05-23,336250,531792.8571428572
462,2020-05-24,320376,536453.0
461,2020-05-25,394359,507575.0
460,2020-05-26,657939,514144.71428571426
459,2020-05-27,675705,521417.85714285716
458,2020-05-28,659248,525543.7142857143
457,2020-05-29,658353,528890.0
456,2020-05-30,426755,541819.2857142857
455,2020-05-31,344428,545255.2857142857
454,2020-06-01,688520,587278.2857142857
453,2020-06-02,695276,592612.1428571428
452,2020-06-03,683037,593659.5714285715
451,2020-06-04,728018,603483.8571428572
450,2020-06-05,704825,610122.7142857143
449,2020-06-06,464207,615473.0
448,2020-06-07,378085,620281.1428571428
447,2020-06-08,806138,637083.7142857143
446,2020-06-09,843968,658325.4285714285
445,2020-06-10,858782,683431.8571428572
444,2020-06-11,819873,696554.0
443,2020-06-12,898314,724195.2857142857
442,2020-06-13,545333,735784.7142857143
441,2020-06-14,430446,743264.8571428572
440,2020-06-15,898925,756520.1428571428
439,2020-06-16,934545,769459.7142857143
438,2020-06-17,950318,782536.2857142857
437,2020-06-18,944318,800314.1428571428
436,2020-06-19,988680,813223.5714285715
435,2020-06-20,576097,817618.4285714285
434,2020-06-21,449497,820340.0
433,2020-06-22,1002073,835075.4285714285
432,2020-06-23,1053005,851998.2857142857
431,2020-06-24,1070527,869171.0
430,2020-06-25,1081006,888697.8571428572
429,2020-06-26,1104497,905243.1428571428
428,2020-06-27,616084,910955.5714285715
427,2020-06-28,536488,923382.8571428572
426,2020-06-29,1103086,937813.2857142857
425,2020-06-30,1115510,946742.5714285715
424,2020-07-01,1122842,954216.1428571428
423,2020-07-02,1172848,967336.4285714285
422,2020-07-03,853015,931410.4285714285
421,2020-07-04,592295,928012.0
420,2020-07-05,534220,927688.0
419,2020-07-06,1087178,925415.4285714285
418,2020-07-07,1159588,931712.2857142857
417,2020-07-08,1174733,939125.2857142857
416,2020-07-09,1213851,944982.8571428572
415,2020-07-10,1032749,970659.1428571428
414,2020-07-11,693789,985158.2857142857
413,2020-07-12,628918,998686.5714285715
412,2020-07-13,1178204,1011690.2857142857
411,2020-07-14,1243749,1023713.2857142857
410,2020-07-15,1251164,1034632.0
409,2020-07-16,1251884,1040065.2857142857
408,2020-07-17,1209692,1065342.857142857
407,2020-07-18,779722,1077619.0
406,2020-07-19,585498,1071416.142857143
405,2020-07-20,1159163,1068696.0
404,2020-07-21,1244544,1068809.5714285714
403,2020-07-22,1236384,1066698.142857143
402,2020-07-23,1236427,1064490.0
401,2020-07-24,1220649,1066055.2857142857
400,2020-07-25,817403,1071438.2857142857
399,2020-07-26,607452,1074574.5714285714
398,2020-07-27,1206129,1081284.0
397,2020-07-28,1244405,1081264.142857143
396,2020-07-29,1298880,1090192.142857143
395,2020-07-30,1272918,1095405.142857143
394,2020-07-31,1260968,1101165.0
393,2020-08-01,843372,1104874.857142857
392,2020-08-02,590675,1102478.142857143
391,2020-08-03,1275951,1112452.7142857143
390,2020-08-04,1028686,1081635.7142857143
389,2020-08-05,1351026,1089085.142857143
388,2020-08-06,1337819,1098356.7142857143
387,2020-08-07,1286635,1102023.4285714286
386,2020-08-08,834093,1100697.857142857
385,2020-08-09,663642,1111121.7142857143
384,2020-08-10,1278263,1111452.0
383,2020-08-11,1322978,1153493.7142857143
382,2020-08-12,1302087,1146502.4285714286
381,2020-08-13,1294248,1140278.0
380,2020-08-14,1358798,1150587.0
379,2020-08-15,861763,1154539.857142857
378,2020-08-16,554980,1139016.7142857143
377,2020-08-17,1307543,1143199.5714285714
376,2020-08-18,1372568,1150283.857142857
375,2020-08-19,1294931,1149261.5714285714
374,2020-08-20,1413449,1166290.2857142857
373,2020-08-21,1390232,1170780.857142857
372,2020-08-22,883393,1173870.857142857
371,2020-08-23,672193,1190615.5714285714
370,2020-08-24,1310101,1190981.0
369,2020-08-25,1349335,1187662.0
368,2020-08-26,1410651,1204193.4285714286
367,2020-08-27,1361128,1196719.0
366,2020-08-28,1391299,1196871.4285714286
365,2020-08-29,774465,1181310.2857142857
364,2020-08-30,748886,1192266.4285714286
363,2020-08-31,1400448,1205173.142857143
362,2020-09-01,1472491,1222766.857142857
361,2020-09-02,1491161,1234268.2857142857
360,2020-09-03,1532512,1258751.7142857143
359,2020-09-04,1571533,1284499.4285714286
358,2020-09-05,1013746,1318682.4285714286
357,2020-09-06,819600,1328784.4285714286
356,2020-09-07,872174,1253316.7142857143
355,2020-09-08,1559312,1265719.7142857143
354,2020-09-09,1613662,1283219.857142857
353,2020-09-10,1547065,1285298.857142857
352,2020-09-11,1693776,1302762.142857143
351,2020-09-12,1083727,1312759.4285714286
350,2020-09-13,796744,1309494.2857142857
349,2020-09-14,1607896,1414597.4285714286
348,2020-09-15,1681774,1432092.0
347,2020-09-16,1690405,1443055.2857142857
346,2020-09-17,1695985,1464329.5714285714
345,2020-09-18,1728810,1469334.4285714286
344,2020-09-19,1137948,1477080.2857142857
343,2020-09-20,828365,1481597.5714285714
342,2020-09-21,1627636,1484417.5714285714
341,2020-09-22,1702325,1487353.4285714286
340,2020-09-23,1739043,1494301.7142857143
339,2020-09-24,1726180,1498615.2857142857
338,2020-09-25,1765299,1503828.0
337,2020-09-26,1120175,1501289.0
336,2020-09-27,846184,1503834.5714285714
335,2020-09-28,1492611,1484545.2857142857
334,2020-09-29,1664896,1479198.2857142857
333,2020-09-30,1744524,1479981.2857142857
332,2020-10-01,1813961,1492521.4285714286
331,2020-10-02,1794201,1496650.2857142857
330,2020-10-03,1168073,1503492.857142857
329,2020-10-04,853591,1504551.0
328,2020-10-05,1682379,1531660.7142857143
327,2020-10-06,1762320,1545578.4285714286
326,2020-10-07,1774408,1549847.5714285714
325,2020-10-08,1801918,1548127.142857143
324,2020-10-09,1811779,1550638.2857142857
323,2020-10-10,1171657,1551150.2857142857
322,2020-10-11,849518,1550568.4285714286
321,2020-10-12,1286892,1494070.2857142857
320,2020-10-13,1718853,1487860.7142857143
319,2020-10-14,1842638,1497607.857142857
318,2020-10-15,1857822,1505594.142857143
317,2020-10-16,1674686,1486009.4285714286
316,2020-10-17,1211061,1491638.5714285714
315,2020-10-18,897886,1498548.2857142857
314,2020-10-19,1722723,1560809.857142857
313,2020-10-20,1784090,1570129.4285714286
312,2020-10-21,1816797,1566437.857142857
311,2020-10-22,1829135,1562339.7142857143
310,2020-10-23,1846268,1586851.4285714286
309,2020-10-24,1185612,1583215.857142857
308,2020-10-25,885001,1581375.142857143
307,2020-10-26,1694080,1577283.2857142857
306,2020-10-27,1818884,1582253.857142857
305,2020-10-28,1823028,1583144.0
304,2020-10-29,1708611,1565926.2857142857
303,2020-10-30,1771288,1555214.857142857
302,2020-10-31,1174079,1553567.2857142857
301,2020-11-01,786678,1539521.142857143
300,2020-11-02,1751443,1547715.857142857
299,2020-11-03,1606096,1517317.5714285714
298,2020-11-04,1693937,1498876.0
297,2020-11-05,1797589,1511587.142857143
296,2020-11-06,1840860,1521526.0
295,2020-11-07,1246356,1531851.2857142857
294,2020-11-08,928516,1552113.857142857
293,2020-11-09,1756175,1552789.857142857
292,2020-11-10,1840750,1586311.857142857
291,2020-11-11,1617862,1575444.0
290,2020-11-12,1780212,1572961.5714285714
289,2020-11-13,1820025,1569985.142857143
288,2020-11-14,1215491,1565575.857142857
287,2020-11-15,821555,1550295.7142857143
286,2020-11-16,1745282,1548739.5714285714
